district_key,district_name,datetime,temperature_c,humidity_pct,rainfall_mm,rainfall_6h_mm,rainfall_24h_mm,temperature_6h_avg,humidity_6h_avg,heat_risk,rainfall_risk,dist_name_area,percent_flooded_area,parmanent_water,corrected_percent_flooded_area,dist_name_impact,human_fatality,human_injured,population,mean_flood_duration,flood_events,overall_weather_risk,weather_risk_level,hour,day,month,flood_target,rainfall_intensity,humidity_rain_index,flood_pressure_index
begusarai,Begusarai,2026-06-25 16:00:00,37.0,46,0.0,0.1,0.1,36.48333333333333,48.16666666666666,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,16,25,6,0,0.004166666666666667,0.046000000000000006,2.079971936
begusarai,Begusarai,2026-06-25 17:00:00,35.9,54,1.8,1.8,1.8,35.8,51.333333333333336,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,17,25,6,0,0.075,0.972,37.439494848
begusarai,Begusarai,2026-06-25 18:00:00,34.3,57,0.0,0.0,0.2,34.83333333333333,57.16666666666666,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,18,25,6,0,0.008333333333333333,0.114,4.159943872
begusarai,Begusarai,2026-06-25 19:00:00,33.7,58,0.0,0.0,0.0,33.3,61.5,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,19,25,6,0,0.0,0.0,0.0
begusarai,Begusarai,2026-06-25 20:00:00,33.1,59,0.0,0.0,0.0,32.65,63.5,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,20,25,6,0,0.0,0.0,0.0
begusarai,Begusarai,2026-06-25 21:00:00,32.5,62,0.0,0.0,0.0,32.28333333333333,65.83333333333333,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,21,25,6,0,0.0,0.0,0.0
begusarai,Begusarai,2026-06-25 22:00:00,30.3,77,0.2,0.2,0.2,31.75,68.0,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,22,25,6,0,0.008333333333333333,0.154,4.159943872
begusarai,Begusarai,2026-06-25 23:00:00,31.3,71,0.2,0.2,0.2,31.266666666666666,70.0,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,23,25,6,0,0.008333333333333333,0.14200000000000002,4.159943872
begusarai,Begusarai,2026-06-26 00:00:00,30.3,73,0.0,0.0,0.5,31.08333333333333,73.0,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,0,26,6,0,0.020833333333333332,0.365,10.39985968
begusarai,Begusarai,2026-06-26 01:00:00,30.1,74,0.0,0.0,0.0,30.58333333333333,72.33333333333333,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,1,26,6,0,0.0,0.0,0.0
