date,district,latitude,longitude,lst_day_k,lst_night_k,qc_day,qc_night,lst_day_c,lst_night_c
2026-08-08,IND.5.10_1,24.337,84.4353,15007.0,14926.622690159005,2,2,26.99000000000001,25.382453803180113
2026-08-09,IND.5.10_1,24.337,84.4353,15007.0,14926.622690159005,2,2,26.99000000000001,25.382453803180113
2026-08-10,IND.5.10_1,24.337,84.4353,15007.0,14926.622690159005,2,2,26.99000000000001,25.382453803180113
2026-08-08,IND.5.10_1,24.337,84.4853,15007.0,14922.674693849624,2,2,26.99000000000001,25.30349387699249
2026-08-09,IND.5.10_1,24.337,84.4853,15007.0,14922.674693849624,2,65,26.99000000000001,25.30349387699249
2026-08-10,IND.5.10_1,24.337,84.4853,15007.0,14922.674693849624,2,2,26.99000000000001,25.30349387699249
2026-08-08,IND.5.10_1,24.387,84.3853,15007.0,14953.994486059653,2,2,26.99000000000001,25.929889721193092
2026-08-09,IND.5.10_1,24.387,84.3853,15007.0,14953.994486059653,2,2,26.99000000000001,25.929889721193092
2026-08-10,IND.5.10_1,24.387,84.3853,15007.0,14953.994486059653,2,2,26.99000000000001,25.929889721193092
2026-08-08,IND.5.10_1,24.387,84.4353,15007.0,14904.083509513746,2,2,26.99000000000001,24.93167019027493
2026-08-09,IND.5.10_1,24.387,84.4353,15007.0,14904.083509513746,2,2,26.99000000000001,24.93167019027493
2026-08-10,IND.5.10_1,24.387,84.4353,15007.0,14904.083509513746,2,2,26.99000000000001,24.93167019027493
2026-08-08,IND.5.10_1,24.387,84.4853,15007.0,14917.954346637503,2,2,26.99000000000001,25.209086932750097
2026-08-09,IND.5.10_1,24.387,84.4853,15007.0,14917.954346637503,2,2,26.99000000000001,25.209086932750097
2026-08-10,IND.5.10_1,24.387,84.4853,15007.0,14917.954346637503,2,2,26.99000000000001,25.209086932750097
2026-08-08,IND.5.10_1,24.387,84.53529999999999,15007.0,14918.83408071749,2,2,26.99000000000001,25.226681614349843
2026-08-09,IND.5.10_1,24.387,84.53529999999999,15007.0,14918.83408071749,2,2,26.99000000000001,25.226681614349843
2026-08-10,IND.5.10_1,24.387,84.53529999999999,15007.0,14918.83408071749,2,2,26.99000000000001,25.226681614349843
2026-08-08,IND.5.10_1,24.387,84.93529999999997,14793.078753076294,14836.0,2,2,22.711575061525878,23.57000000000005
2026-08-09,IND.5.10_1,24.387,84.93529999999997,14793.078753076294,14836.0,2,2,22.711575061525878,23.57000000000005
2026-08-10,IND.5.10_1,24.387,84.93529999999997,14793.078753076294,14836.0,2,2,22.711575061525878,23.57000000000005
2026-08-08,IND.5.10_1,24.387,85.08529999999996,15007.0,14867.8156820365,2,2,26.99000000000001,24.20631364073006
2026-08-09,IND.5.10_1,24.387,85.08529999999996,15007.0,14867.8156820365,2,65,26.99000000000001,24.20631364073006
2026-08-10,IND.5.10_1,24.387,85.08529999999996,15007.0,14867.8156820365,2,2,26.99000000000001,24.20631364073006
2026-08-08,IND.5.10_1,24.437,84.3353,15007.0,14953.994486059653,2,2,26.99000000000001,25.929889721193092
2026-08-09,IND.5.10_1,24.437,84.3353,15007.0,14953.994486059653,2,2,26.99000000000001,25.929889721193092
2026-08-10,IND.5.10_1,24.437,84.3353,15007.0,14953.994486059653,2,2,26.99000000000001,25.929889721193092
2026-08-08,IND.5.10_1,24.437,84.3853,15007.0,14886.172164948453,2,2,26.99000000000001,24.573443298969096
2026-08-09,IND.5.10_1,24.437,84.3853,15007.0,14886.172164948453,2,2,26.99000000000001,24.573443298969096
2026-08-10,IND.5.10_1,24.437,84.3853,15007.0,14886.172164948453,2,2,26.99000000000001,24.573443298969096
2026-08-08,IND.5.10_1,24.437,84.4353,15007.0,14892.014161490682,2,2,26.99000000000001,24.6902832298137
2026-08-09,IND.5.10_1,24.437,84.4353,15007.0,14892.014161490682,2,2,26.99000000000001,24.6902832298137
2026-08-10,IND.5.10_1,24.437,84.4353,15007.0,14892.014161490682,2,2,26.99000000000001,24.6902832298137
