longitude,latitude
84.3353,24.437
84.3353,24.487000000000002
84.3853,24.387
84.3853,24.437
84.3853,24.487000000000002
84.3853,24.537000000000003
84.4353,24.337
84.4353,24.387
84.4353,24.437
84.4353,24.487000000000002
84.4353,24.537000000000003
84.4853,24.337
84.4853,24.387
84.4853,24.437
84.4853,24.487000000000002
84.53529999999999,24.387
84.53529999999999,24.437
84.53529999999999,24.487000000000002
84.58529999999999,24.437
84.58529999999999,24.487000000000002
84.58529999999999,24.537000000000003
84.58529999999999,24.587000000000003
84.63529999999999,24.437
84.63529999999999,24.487000000000002
84.63529999999999,24.537000000000003
84.63529999999999,24.587000000000003
84.63529999999999,24.637000000000004
84.68529999999998,24.487000000000002
84.68529999999998,24.537000000000003
84.68529999999998,24.587000000000003
84.68529999999998,24.637000000000004
84.68529999999998,24.837000000000007
84.68529999999998,24.887000000000008
84.73529999999998,24.487000000000002
84.73529999999998,24.537000000000003
84.73529999999998,24.587000000000003
84.73529999999998,24.637000000000004
84.73529999999998,24.687000000000005
84.73529999999998,24.737000000000005
84.73529999999998,24.787000000000006
84.73529999999998,24.837000000000007
84.73529999999998,24.887000000000008
84.73529999999998,24.93700000000001
84.73529999999998,24.98700000000001
84.73529999999998,25.03700000000001
84.78529999999998,24.537000000000003
84.78529999999998,24.587000000000003
84.78529999999998,24.637000000000004
84.78529999999998,24.687000000000005
84.78529999999998,24.737000000000005
84.78529999999998,24.787000000000006
84.78529999999998,24.837000000000007
84.78529999999998,24.887000000000008
84.78529999999998,24.93700000000001
84.78529999999998,24.98700000000001
84.78529999999998,25.03700000000001
84.83529999999998,24.487000000000002
84.83529999999998,24.537000000000003
84.83529999999998,24.587000000000003
84.83529999999998,24.637000000000004
84.83529999999998,24.687000000000005
84.83529999999998,24.737000000000005
84.83529999999998,24.787000000000006
84.83529999999998,24.837000000000007
84.83529999999998,24.887000000000008
84.83529999999998,24.93700000000001
84.83529999999998,24.98700000000001
84.83529999999998,25.03700000000001
84.88529999999997,24.437
84.88529999999997,24.487000000000002
84.88529999999997,24.537000000000003
84.88529999999997,24.587000000000003
84.88529999999997,24.637000000000004
84.88529999999997,24.687000000000005
84.88529999999997,24.737000000000005
84.88529999999997,24.787000000000006
84.88529999999997,24.837000000000007
84.88529999999997,24.887000000000008
84.88529999999997,24.93700000000001
84.88529999999997,24.98700000000001
84.93529999999997,24.387
84.93529999999997,24.437
