dist_name_area,percent_flooded_area,parmanent_water,corrected_percent_flooded_area,district_key,dist_name_impact,human_fatality,human_injured,population,mean_flood_duration,flood_events,avg_temperature_c,avg_humidity_pct,total_rainfall_mm
Nainital,0.775389314,0.026065252,0.749324062,nainital,Nainital,91,6,1104668,3.0,0,,,
Nalanda,17.26579914,0.017069197,17.24872994,nalanda,Nalanda,108,0,3649192,23.0,0,,,
Nalbari,8.823179287,2.234621552,6.588557735,nalbari,Nalbari,130,1,978546,10.0,0,,,
Nalgonda,1.110181564,1.121014225,0.010832661,nalgonda,Nalgonda,67,2,1795837,8.0,0,,,
Namakkal,0.411626715,0.022086664,0.389540051,namakkal,Namakkal,29,4,2030160,8.0,0,,,
Namsai,4.082402322,0.299110207,3.783292115,namsai,Namsai,4,1,120106,5.0,0,,,
Nanded,1.586913636,0.436541633,1.150372003,nanded,Nanded,262,34,3861544,4.0,0,,,
Nandurbar,1.936180535,1.1061674,0.830013135,nandurbar,Nandurbar,43,6,2039682,4.0,0,,,
Narayanpet,1.584991037,0.815999907,0.76899113,narayanpet,Narayanpet,11,0,669576,5.0,0,,,
Narayanpur,0.591873275,0.019401894,0.572471381,narayanpur,Narayanpur,6,2,120311,2.0,0,,,
Narmada,5.679248253,2.564251605,3.114996648,narmada,Narmada,47,0,694589,11.0,0,,,
Narsimhapur,2.214872889,0.238163477,1.976709412,narsimhapur,Narsimhapur,14,0,1275736,7.0,0,,,
Nashik,0.73876734,0.729292944,0.009474396,nashik,Nashik,158,70,7301954,3.0,0,,,
Navsari,2.899986996,0.636447966,2.26353903,navsari,Navsari,79,6,1457183,21.0,0,,,
Nawada,1.840779083,0.079535975,1.761243108,nawada,Nawada,98,23,2765346,25.0,0,,,
Nayagarh,4.840654376,0.392848482,4.447805894,nayagarh,Nayagarh,36,0,1012257,29.0,0,,,
Neemuch,1.80618778,1.853193024,0.047005244,neemuch,Neemuch,14,1,905934,6.0,0,,,
New Delhi,0.014199219,0.0,0.014199219,newdelhi,New Delhi,21,20,1064852,3.0,0,,,
Nicobars,0.090612489,0.0,0.090612489,nicobars,Nicobars,0,0,27340,,0,,,
Nirmal,2.495939442,1.345821289,1.150118153,nirmal,Nirmal,2,0,747102,10.0,0,,,
Niwari,2.347448333,0.208926357,2.138521976,niwari,Niwari,2,0,474884,8.0,0,,,
Nizamabad,1.414979667,1.37012829,0.044851377,nizamabad,Nizamabad,95,1,1716963,8.0,0,,,
Noney,2.73207358,0.05487921,2.67719437,noney,Noney,56,18,58122,6.0,0,,,
North,1.725427554,0.0,1.725427554,north,North,19,9,2128488,3.0,0,,,
North  District,0.608832673,0.545185157,0.063647516,northdistrict,North  District,88,16,44583,3.0,0,,,
North East,1.464774777,0.0,1.464774777,northeast,North East,2,7,1444919,3.0,0,,,
North Garo Hills,1.505747627,0.0,1.505747627,northgarohills,North Garo Hills,13,0,191024,5.0,0,,,
North Goa,4.159637042,2.577757251,1.581879791,northgoa,North Goa,7,4,718288,4.0,0,,,
North  & Middle Andaman,1.3148171,0.0,1.3148171,northmiddleandaman,North  & Middle Andaman,0,0,101677,1.0,0,,,
North Tripura,1.542869002,0.0,1.542869002,northtripura,North Tripura,96,1,417050,4.0,0,,,
North Twenty Four Pargan*,18.6648469,7.43925593,11.22559097,northtwentyfourpargan,North Twenty Four Pargan*,294,16,10544399,19.0,0,,,
North West,0.1,0.0,0.1,northwest,North West,2,4,2287355,3.0,0,,,
Nuapada,1.647190051,0.35257892,1.294611131,nuapada,Nuapada,25,0,702602,34.0,0,,,
Nuh,0.669910248,0.0,0.669910248,nuh,Nuh,2,0,1279625,7.0,0,,,
Osmanabad,0.279521656,0.27922672,0.000294936,osmanabad,Osmanabad,137,10,1913512,4.0,0,,,
Pakke Kessang,1.745384121,0.023431627,1.721952494,pakkekessang,Pakke Kessang,3,1,18414,5.0,0,,,
Pakur,3.841519374,0.015471341,3.826048033,pakur,Pakur,1,0,1077497,6.0,0,,,
Palakkad,2.435607291,0.550109826,1.885497465,palakkad,Palakkad,104,38,3024581,6.0,0,,,
Palamu,1.260455563,0.197368643,1.06308692,palamu,Palamu,23,1,2294123,8.0,0,,,
Palghar,2.015211138,1.112239022,0.902972116,palghar,Palghar,78,4,3787472,3.0,0,,,
Pali,0.420034216,0.028374093,0.391660123,pali,Pali,136,8,2254626,18.0,0,,,
Palwal,1.788990887,0.0,1.788990887,palwal,Palwal,2,0,1312139,7.0,0,,,
Panchkula,0.322349702,0.040273471,0.282076231,panchkula,Panchkula,18,6,597239,4.0,0,,,
Panch Mahals,0.963141904,0.574815885,0.388326019,panchmahals,Panch Mahals,86,2,1953336,22.0,0,,,
Panipat,1.825319296,0.0,1.825319296,panipat,Panipat,19,0,1456085,6.0,0,,,
Panna,0.90658603,0.165583402,0.741002628,panna,Panna,8,0,1214594,7.0,0,,,
